資料日期,類型,券商名稱,買進金額,賣出金額,差額,單位億元
2026/05/13,買超,台灣摩根士丹利,62351336,54534849,7816486,78.16
2026/05/13,買超,國泰-敦南,31120193,25784910,5335283,53.35
2026/05/13,買超,兆豐證券,9085942,4831789,4254153,42.54
2026/05/13,買超,美商高盛,71937916,69334412,2603504,26.04
2026/05/13,賣超,凱基-台北,92977987,121191764,-28213777,282.14
2026/05/13,賣超,富邦證券,24395647,38034478,-13638831,136.39
2026/05/13,賣超,元大證券,146467522,157167097,-10699574,107.0
2026/05/13,賣超,新加坡商瑞銀,50635563,57102891,-6467328,64.67
2026/05/14,買超,統一,27641136,15905313,11735822,117.36
2026/05/14,買超,台灣摩根士丹利,66898741,59560283,7338458,73.38
2026/05/14,買超,法銀巴黎,5448288,1652120,3796168,37.96
2026/05/14,買超,港商野村,18477183,14691159,3786023,37.86
2026/05/14,賣超,元大證券,132764988,141450036,-8685048,86.85
2026/05/14,賣超,國泰證券,9887166,14285561,-4398394,43.98
2026/05/14,賣超,美商高盛,69031987,73427899,-4395912,43.96
2026/05/14,賣超,永豐金證券,20205137,24564430,-4359293,43.59
2026/05/15,買超,台灣摩根士丹利,75503278,67668861,7834418,78.34
2026/05/15,買超,花旗環球,18793233,12132984,6660249,66.6
2026/05/15,買超,國泰-敦南,35823785,29740478,6083307,60.83
2026/05/15,買超,美林,44199647,39552683,4646964,46.47
2026/05/15,賣超,元大證券,148376701,166103242,-17726541,177.27
2026/05/15,賣超,新加坡商瑞銀,61391353,74152864,-12761511,127.62
2026/05/15,賣超,富邦證券,28825308,37811838,-8986530,89.87
2026/05/15,賣超,群益金鼎,15614851,23253089,-7638238,76.38
2026/05/18,買超,統一,21561816,14694045,6867770,68.68
2026/05/18,買超,國泰-敦南,23994219,22278846,1715373,17.15
2026/05/18,買超,凱基-站前,6005061,4449110,1555951,15.56
2026/05/18,買超,美商高盛,57896947,56659382,1237566,12.38
2026/05/18,賣超,永豐金-匯立,4663451,14978471,-10315020,103.15
2026/05/18,賣超,港商麥格理,3959381,13179938,-9220557,92.21
2026/05/18,賣超,摩根大通,40835344,48350963,-7515619,75.16
2026/05/18,賣超,台灣摩根士丹利,54620962,59120482,-4499520,45.0
2026/05/19,買超,摩根大通,54233502,42434803,11798698,117.99
2026/05/19,買超,國泰-敦南,29737227,22706695,7030532,70.31
2026/05/19,買超,花旗環球,22251819,19062065,3189754,31.9
2026/05/19,買超,新光,11428048,9795173,1632875,16.33
2026/05/19,賣超,凱基-台北,78242967,97495079,-19252112,192.52
2026/05/19,賣超,元大證券,112836384,129355226,-16518842,165.19
2026/05/19,賣超,美商高盛,57855500,72969782,-15114282,151.14
2026/05/19,賣超,富邦證券,21944239,34410597,-12466358,124.66
2026/05/20,買超,新加坡商瑞銀,56079999,49597222,6482777,64.83
2026/05/20,買超,凱基-站前,6771238,4422650,2348588,23.49
2026/05/20,買超,花旗環球,15677750,13699416,1978334,19.78
2026/05/20,買超,國泰-敦南,24273490,22305271,1968219,19.68
2026/05/20,賣超,元大證券,108663200,126347133,-17683933,176.84
2026/05/20,賣超,永豐金證券,18330131,26007863,-7677732,76.78
2026/05/20,賣超,摩根大通,47442268,54990555,-7548288,75.48
2026/05/20,賣超,港商麥格理,2624199,9217538,-6593339,65.93
